def:Cech-cobaundarymap	appendixA.tex	187	label
def:cech-cohomology	appendixA.tex	198	mydef
def:Cech-complex	appendixA.tex	182	label
def:Cech-complex-1	appendixA.tex	242	label
def:Deligne-Beilinson	appendixA.tex	275	mydef
def:good-cover	appendixA.tex	31	mydef
def:presheaf	appendixA.tex	61	mydef
def:sheaf	appendixA.tex	125	mydef
def:sheaf-cohomology	appendixA.tex	166	mydef
eq:additive-sheaf	appendixA.tex	156	label
ex:Cech-deRham	appendixA.tex	206	myexample
ex:constant-presheaf	appendixA.tex	80	myexample
ex:presheaf-diff	appendixA.tex	90	myexample
prop:Cech-good-cover	appendixA.tex	221	myprop
prop:DB-good-cover	appendixA.tex	321	myprop
prop:Deligne-Beilinson	appendixA.tex	296	myprop
col:complete-compact	appendixB.tex	1118	mycol
col:pushforward	appendixB.tex	502	mycol
def:complete-vecf	appendixB.tex	1081	mydef
def:coord-vecf	appendixB.tex	270	myexample
def:F-related	appendixB.tex	421	mydef
def:global-flow	appendixB.tex	763	mydef
def:integral-curve	appendixB.tex	595	mydef
def:Lie-bracket	appendixB.tex	510	mydef
def:Liedv	appendixB.tex	1145	mydef
def:local-flow	appendixB.tex	861	mydef
def:parallel	appendixB.tex	317	mydef
def:smoothframe	appendixB.tex	307	mydef
def:vecf	appendixB.tex	234	mydef
eq:direction	appendixB.tex	1140	label
eq:Liebracket	appendixB.tex	515	label
eq:Liedv-f	appendixB.tex	1228	label
ex:integral-curve1	appendixB.tex	618	myexample
ex:local-flow	appendixB.tex	849	myexample
lem:affine-integral-curve	appendixB.tex	692	mylem
lem:cinfty-chart	appendixB.tex	13	mylem
lem:cinfty-chart-b	appendixB.tex	117	mylem
lem:smooth-vect-chart	appendixB.tex	1255	mylem
lem:uniformtime	appendixB.tex	1085	mylem
prop:diffeo-Frelated	appendixB.tex	478	myprop
prop:existence-integral	appendixB.tex	637	myprop
prop:F-related	appendixB.tex	456	myprop
prop:infinitesimal-generator	appendixB.tex	777	myprop
prop:infinitesimal-generator-local	appendixB.tex	906	myprop
prop:Lie-bracket-natural	appendixB.tex	552	myprop
prop:Liedv-smooth	appendixB.tex	1158	myprop
prop:natural-integral-curve	appendixB.tex	647	myprop
prop:smoothvecf	appendixB.tex	261	myprop
prop:smoothvecf-2	appendixB.tex	338	myprop
prop:tangentbundle	appendixB.tex	160	myprop
prop:vecf-derivation	appendixB.tex	363	myprop
prop:vecf-Liealg	appendixB.tex	534	myprop
prop:vecf-module	appendixB.tex	279	myprop
thm:complete-compace	appendixB.tex	1109	mytheo
thm:fundamental-flow	appendixB.tex	929	mytheo
thm:fundamental-flow-boundary	appendixB.tex	1070	mytheo
thm:left-invariant-complete	appendixB.tex	1123	mytheo
thm:Liedv	appendixB.tex	1205	mytheo
cmtd:colim	appendixC.tex	372	label
cmtd:lim	appendixC.tex	308	label
col:coundary-coeq	appendixC.tex	1716	mycol
col:horn-coeq	appendixC.tex	1763	mycol
col:Yoneda	appendixC.tex	714	mycol
def:adjoint	appendixC.tex	961	mydef
def:category	appendixC.tex	104	mydef
def:coCone	appendixC.tex	314	mydef
def:colim	appendixC.tex	356	mydef
def:complete	appendixC.tex	480	mydef
def:Cone	appendixC.tex	250	mydef
def:diagram	appendixC.tex	240	mydef
def:end	appendixC.tex	881	mydef
def:enriched	appendixC.tex	2445	mydef
def:enriched-functor	appendixC.tex	2481	mydef
def:eq-coeq	appendixC.tex	431	myexample
def:equiv-infty	appendixC.tex	2435	mydef
def:faithful	appendixC.tex	188	mydef
def:functor	appendixC.tex	164	mydef
def:geometric-realization	appendixC.tex	1443	mydef
def:groupoid	appendixC.tex	2274	mydef
def:hcat-infty	appendixC.tex	2409	mydef
def:Hom-funct	appendixC.tex	867	label
def:horn	appendixC.tex	1480	mydef
def:hqCat	appendixC.tex	2427	mydef
def:infinity-1	appendixC.tex	2058	mydef
def:infinity-presheaf	appendixC.tex	2869	mydef
def:infinity-topos	appendixC.tex	2908	mydef
def:infty-Fun	appendixC.tex	2076	myexample
def:infty-homotopy-equivalence	appendixC.tex	2383	mylem
def:infty-homotopy-morphism	appendixC.tex	2363	mydef
def:iso	appendixC.tex	142	mydef
def:isom-infty	appendixC.tex	2419	mydef
def:Kan	appendixC.tex	2547	myexample
def:KanCplx	appendixC.tex	2033	mydef
def:Kanext	appendixC.tex	1151	mydef
def:lim	appendixC.tex	292	mydef
def:nat	appendixC.tex	206	mydef
def:nerve	appendixC.tex	1812	mydef
def:nerve-hc	appendixC.tex	2667	mydef
def:op-infty	appendixC.tex	2854	mydef
def:PathCat	appendixC.tex	2576	mydef
def:preserve-colim	appendixC.tex	1003	label
def:preserve-lim	appendixC.tex	1019	label
def:presheaf-general	appendixC.tex	585	mydef
def:product-coproduct	appendixC.tex	378	myexample
def:pullback-pushout	appendixC.tex	459	myexample
def:representable	appendixC.tex	600	mydef
def:SimpCat	appendixC.tex	2529	mydef
def:simpi	appendixC.tex	2822	myprop
def:simplex-cat	appendixC.tex	1185	mydef
def:simplicial-top	appendixC.tex	1411	mydef
def:SimpSet	appendixC.tex	1220	mydef
def:SimpSet-homotopic	appendixC.tex	2716	mydef
def:slice-category	appendixC.tex	1052	mydef
def:Spaces	appendixC.tex	2705	myexample
def:weighted-lim	appendixC.tex	850	mydef
eq:constant-functor	appendixC.tex	753	label
eq:diag-post	appendixC.tex	493	label
eq:diag-pre	appendixC.tex	506	label
eq:htpy-cat-composition	appendixC.tex	2402	label
eq:nerve-spine	appendixC.tex	1870	label
eq:Simp1	appendixC.tex	1257	label
eq:Simp2	appendixC.tex	1258	label
eq:Simp3	appendixC.tex	1259	label
eq:Simp4	appendixC.tex	1260	label
eq:Simp5	appendixC.tex	1261	label
eq:sSet-tensor	appendixC.tex	2522	label
ex:horn	appendixC.tex	1525	myexample
ex:nerve-degen	appendixC.tex	1893	myexample
ex:nerve-face	appendixC.tex	1879	myexample
ex:PathCat2	appendixC.tex	2614	myexample
fig:1-simp	appendixC.tex	1277	label
fig:2-simp	appendixC.tex	1286	label
fig:3-simp	appendixC.tex	1299	label
lem:Yoneda	appendixC.tex	640	mylem
prop:adj-lim	appendixC.tex	1021	myprop
prop:boundary-coeq	appendixC.tex	1620	myprop
